Order #,Order Date,Item Id,Item,Category,Quantity,Item Price,Item End Time,Payment Date,Payment Amount,Tracking #,Tax,Additional Fee,Shipping Price,Handling Price,Donation,Shipped Date,Seller
59508107,12/26/2025,251064125,2 Vintage Redline Hot Wheels Die Cast Cars - Olds 442 & Sweet 16 Custom Firebird,Toys/Dolls/Games > Toys > Cars & Trucks,1,$66.00,12/26/2025,12/26/2025,$77.00,887484582170	,$0.00,$0.00,$9.00,$2.00,$0.00,12/29/2025,Goodwill Industries of the Columbia Willamette
59508360,12/26/2025,250804973,Box of Assorted My Little Pony Figures,Toys/Dolls/Games,1,$101.00,12/26/2025,12/26/2025,$128.57,497675136355	,$0.00,$0.00,$0.02,$0.00,$0.00,12/30/2025,Goodwill of the Olympics and Rainier Region
59508360,12/26/2025,250920941,"Lot of 5 RPG Sourcebooks: GURPS Goblins, Blue Planet, Digital Burn & More",Toys/Dolls/Games > Games,1,$27.55,12/26/2025,12/26/2025,$128.57,497675136355	,$0.00,$0.00,$0.02,$0.00,$0.00,12/30/2025,Goodwill of the Olympics and Rainier Region
59508441,12/26/2025,250800648,Bandai Gf13 017njii G Gundam Neo Japan Mobile Fighter Model Kit Partly Built,Crafts & Hobbies > Models & Model Kits,1,$9.99,12/25/2025,12/26/2025,$26.32,9434636208303359683052	,$0.00,$0.00,$13.34,$2.99,$0.00,12/31/2025,Goodwill-Easter Seals MN
59508505,12/26/2025,250955562,The Silmarillion by JRR Tolkien & An Encyclopedia of Tolkien by David Day Books,Books > Antique/Collectible,1,$23.34,12/26/2025,12/26/2025,$33.98,397342730523	,$0.00,$0.00,$6.65,$3.99,$0.00,1/1/2026,Southern Oregon Goodwill Industries
59510794,12/26/2025,251155905,Lot of 3 Dungeons & Dragons Honor Among Thieves Gelatinous Cubes Sets,Toys/Dolls/Games > Games,1,$16.00,12/26/2025,12/26/2025,$33.85,397433050796	,$0.00,$0.00,$15.85,$2.00,$0.00,1/5/2026,Goodwill Industries of the Southern Piedmont
59521750,12/27/2025,251099772,Dr. Martens Women's Holly Iridescent Crackle Gunmetal Leather  Size7 Shoes,Clothing > Women's Clothing > Shoes Women's > Size 7,1,$24.99,12/27/2025,12/27/2025,$25.00,887453941404	,$0.00,$0.00,$0.01,$0.00,$0.00,12/28/2025,Goodwill Industries of the Columbia Willamette
59525630,12/27/2025,250934142,"Pink Floyd Music Ltd. 1973 Graphic Band Short Sleeve T-Shirt - Large, Black",Clothing > Men's Clothing > Shirts,1,$9.99,12/27/2025,12/27/2025,$168.61,441366690074	,$0.00,$0.00,$11.64,$10.00,$0.00,12/31/2025,Goodwill Industries of the Inland Northwest
59525630,12/27/2025,250948398,"Women's Lululemon Blue High-Waisted Leggings, Size 8",Clothing > Women's Clothing > Athletic Apparel > Size 8,1,$12.00,12/27/2025,12/27/2025,$168.61,441366690074	,$0.00,$0.00,$11.64,$10.00,$0.00,12/31/2025,Goodwill Industries of the Inland Northwest
59525630,12/27/2025,250952186,Grab Bag of Hot Wheels Die-Cast Cars - Mixed Loose and Packaged Items,Toys/Dolls/Games > Toys > Cars & Trucks,1,$13.00,12/27/2025,12/27/2025,$168.61,441366690074	,$0.00,$0.00,$11.64,$10.00,$0.00,12/31/2025,Goodwill Industries of the Inland Northwest
59525630,12/27/2025,250952197,Women's Lululemon Green Striped Athletic Leggings - Size 4,Clothing > Women's Clothing > Athletic Apparel > Size 4,1,$9.99,12/27/2025,12/27/2025,$168.61,441366690074	,$0.00,$0.00,$11.64,$10.00,$0.00,12/31/2025,Goodwill Industries of the Inland Northwest
59525630,12/27/2025,250953589,J.R.R. Tolkien Box Set: The Hobbit and The Lord of the Rings (4 Books),Books > Collections/Sets,1,$36.00,12/27/2025,12/27/2025,$168.61,441366690074	,$0.00,$0.00,$11.64,$10.00,$0.00,12/31/2025,Goodwill Industries of the Inland Northwest
59525630,12/27/2025,250955144,Lot of 6 Xbox 360 Wireless Controllers - Mixed Colors,Gaming Systems & Games > Microsoft Xbox 360,1,$36.00,12/27/2025,12/27/2025,$168.61,441366690074	,$0.00,$0.00,$11.64,$10.00,$0.00,12/31/2025,Goodwill Industries of the Inland Northwest
